fixed acidity,volatile acidity,citric acid,chlorides,free sulfur dioxide,density,alcohol,quality
7.1,0.43,0.42,0.07,29.0,0.9973,10.5,5
7.1,0.43,0.42,0.071,28.0,0.9973,10.5,5
7.1,0.43,0.42,0.07,29.0,0.9973,10.5,5
7.1,0.43,0.42,0.071,28.0,0.9973,10.5,5
6.8,0.6,0.18,0.079,18.0,0.9968,9.3,6
7.4,0.6,0.26,0.07,36.0,0.9982,9.4,5
7.3,0.59,0.26,0.07,35.0,0.9981,9.4,5
8.0,0.42,0.17,0.073,6.0,0.9972,9.2,6
8.0,0.42,0.17,0.073,6.0,0.9972,9.2,6
7.3,0.38,0.21,0.08,7.0,0.9961,9.5,5
7.3,0.38,0.21,0.08,7.0,0.9961,9.5,5
8.8,0.61,0.14,0.067,10.0,0.9969,9.5,5
8.8,0.61,0.14,0.067,10.0,0.9969,9.5,5
6.8,0.61,0.2,0.077,11.0,0.9971,9.3,5
6.7,0.62,0.21,0.079,8.0,0.997,9.3,6
8.2,0.5,0.35,0.077,21.0,0.9976,9.4,5
6.4,0.37,0.25,0.074,21.0,0.9974,9.8,6
7.6,0.55,0.21,0.071,7.0,0.9964,9.7,5
7.6,0.55,0.21,0.071,7.0,0.9964,9.7,5
7.8,0.59,0.33,0.074,24.0,0.9968,9.4,5
7.3,0.58,0.3,0.074,15.0,0.9968,10.2,5
6.8,0.5,0.11,0.075,16.0,0.99545,9.5,5
7.8,0.57,0.31,0.069,26.0,0.99625,9.3,5
8.2,0.57,0.26,0.06,28.0,0.9959,10.1,5
7.0,0.49,0.49,0.06,26.0,0.9974,10.5,5
7.5,0.49,0.19,0.076,10.0,0.9957,9.7,5
7.8,0.53,0.33,0.08,24.0,0.99655,9.5,5
7.7,0.43,0.25,0.073,29.0,0.99615,10.5,6
7.7,0.43,0.25,0.073,29.0,0.99615,10.5,6
6.9,0.52,0.25,0.081,10.0,0.99685,11.0,5
6.9,0.52,0.25,0.081,10.0,0.99685,11.0,5
8.2,0.6,0.17,0.072,11.0,0.9963,9.3,5
8.0,0.57,0.23,0.073,17.0,0.99675,9.3,5
9.4,0.34,0.37,0.075,5.0,0.998,9.2,5
7.9,0.33,0.23,0.077,18.0,0.99625,9.3,5
7.9,0.37,0.23,0.077,23.0,0.9963,9.3,5
7.6,0.52,0.12,0.067,12.0,0.9971,9.1,5
7.4,0.29,0.38,0.062,9.0,0.9968,9.5,6
7.9,0.53,0.24,0.072,15.0,0.996,9.4,6
8.6,0.47,0.3,0.076,30.0,0.9976,9.4,5
8.0,0.58,0.28,0.066,21.0,0.9973,9.4,6
8.9,0.43,0.45,0.052,6.0,0.9948,12.5,6
7.8,0.43,0.32,0.08,29.0,0.9974,10.3,5
6.1,0.21,0.4,0.066,40.5,0.9912,11.9,6
7.7,0.26,0.3,0.059,20.0,0.9949,10.8,6
8.7,0.31,0.46,0.059,11.0,0.9966,10.1,6
9.0,0.43,0.34,0.08,26.0,0.9987,9.5,6
9.1,0.45,0.35,0.08,23.0,0.9987,9.5,5
9.1,0.52,0.33,0.07,9.0,0.9978,9.3,5
7.8,0.55,0.35,0.074,21.0,0.9974,9.2,5
7.0,0.62,0.18,0.062,7.0,0.9951,9.3,5
7.0,0.23,0.4,0.063,21.0,0.9952,11.1,5
8.8,0.46,0.45,0.065,7.0,0.9947,14.0,6
9.6,0.54,0.42,0.081,25.0,0.997,11.4,6
9.3,0.39,0.4,0.073,10.0,0.9984,10.2,6
9.2,0.41,0.5,0.055,12.0,0.9952,13.3,7
6.5,0.39,0.23,0.051,28.0,0.9952,12.1,6
7.8,0.52,0.25,0.081,14.0,0.9984,9.0,6
7.8,0.52,0.25,0.081,14.0,0.9984,9.0,6
9.5,0.46,0.49,0.064,5.0,0.9988,11.0,6
7.5,0.55,0.24,0.078,10.0,0.9983,9.5,6
9.0,0.44,0.49,0.078,26.0,0.9978,9.2,5
6.6,0.39,0.49,0.07,23.0,0.9922,11.5,6
8.5,0.585,0.18,0.078,5.0,0.9967,9.8,6
9.4,0.41,0.48,0.072,10.0,0.9973,12.2,7
6.3,0.36,0.19,0.075,15.0,0.9956,12.7,6
8.2,0.39,0.38,0.058,10.0,0.9962,9.8,5
9.6,0.6,0.5,0.079,28.0,0.9997,9.7,5
9.6,0.6,0.5,0.079,28.0,0.9997,9.7,5
8.3,0.54,0.24,0.076,16.0,0.9976,9.4,5
8.2,0.56,0.23,0.078,14.0,0.9976,9.4,5
7.9,0.35,0.21,0.073,46.0,0.9964,9.5,5
9.5,0.59,0.44,0.071,21.0,0.9992,9.5,5
9.5,0.59,0.44,0.071,21.0,0.9992,9.5,5
8.7,0.48,0.3,0.066,10.0,0.9964,11.2,7
6.7,0.42,0.27,0.068,24.0,0.9948,11.3,6
8.6,0.47,0.47,0.074,7.0,0.9979,9.5,5
7.5,0.42,0.31,0.08,15.0,0.9978,9.0,5
9.3,0.41,0.39,0.064,12.0,0.9984,10.2,5
8.5,0.46,0.31,0.078,32.0,0.998,9.8,5
7.5,0.38,0.48,0.073,22.0,0.9972,9.6,4
7.4,0.49,0.19,0.077,16.0,0.9966,10.5,5
7.8,0.545,0.12,0.068,11.0,0.996,11.6,6
8.0,0.43,0.36,0.075,10.0,0.9976,9.4,5
7.2,0.49,0.18,0.069,13.0,0.9967,9.2,6
8.0,0.43,0.36,0.075,10.0,0.9976,9.4,5
7.6,0.46,0.11,0.079,12.0,0.9968,10.0,5
7.7,0.56,0.2,0.075,9.0,0.9987,9.3,5
9.2,0.53,0.24,0.078,28.0,0.99788,9.5,5
7.3,0.51,0.18,0.07,12.0,0.99768,9.5,6
8.2,0.34,0.38,0.08,12.0,0.9978,9.0,6
7.2,0.5,0.18,0.071,12.0,0.99761,9.6,6
7.3,0.51,0.18,0.07,12.0,0.99768,9.5,6
9.0,0.58,0.25,0.075,9.0,0.99779,9.7,5
8.3,0.43,0.3,0.079,7.0,0.99788,10.5,5
8.6,0.55,0.09,0.068,8.0,0.99735,10.0,5
8.2,0.28,0.4,0.052,4.0,0.99356,12.8,7
8.4,0.25,0.39,0.041,4.0,0.99386,12.5,7
8.2,0.28,0.4,0.052,4.0,0.99356,12.8,7
7.6,0.48,0.31,0.07,4.0,0.99693,10.3,6
7.3,0.49,0.1,0.068,4.0,0.99562,10.5,5
7.1,0.48,0.28,0.068,6.0,0.99682,10.3,5
7.1,0.46,0.14,0.076,15.0,0.99624,10.7,5
7.5,0.27,0.34,0.05,4.0,0.9951,11.0,7
7.1,0.46,0.14,0.076,15.0,0.99624,10.7,5
6.7,0.28,0.28,0.012,36.0,0.99064,11.7,7
6.7,0.28,0.28,0.012,36.0,0.99064,11.7,7
6.4,0.64,0.21,0.081,14.0,0.99689,9.8,5
6.4,0.64,0.21,0.081,14.0,0.99689,9.8,5
6.4,0.64,0.21,0.081,14.0,0.99689,9.8,5
6.4,0.63,0.21,0.08,12.0,0.99689,9.8,5
9.3,0.36,0.39,0.08,41.0,0.99652,10.9,6
9.3,0.36,0.39,0.08,41.0,0.99652,10.9,6
9.3,0.36,0.39,0.08,41.0,0.99652,10.9,6
8.2,0.26,0.34,0.073,16.0,0.99594,11.3,7
7.5,0.42,0.32,0.067,7.0,0.99628,10.4,5
7.3,0.35,0.24,0.067,28.0,0.99576,10.0,4
9.1,0.21,0.37,0.067,6.0,0.99552,11.1,7
9.2,0.56,0.18,0.078,10.0,0.99576,9.9,5
7.2,0.34,0.24,0.071,30.0,0.99576,10.1,5
8.3,0.31,0.39,0.078,17.0,0.99444,12.5,7
8.3,0.31,0.39,0.078,17.0,0.99444,12.5,7
8.9,0.31,0.36,0.056,10.0,0.99562,11.8,5
7.4,0.635,0.1,0.08,16.0,0.99736,10.8,7
7.4,0.635,0.1,0.08,16.0,0.99736,10.8,7
9.2,0.58,0.2,0.081,15.0,0.998,9.5,5
7.4,0.52,0.13,0.078,34.0,0.99528,10.8,6
7.3,0.305,0.39,0.059,7.0,0.99331,11.5,6
7.3,0.305,0.39,0.059,7.0,0.99331,11.5,6
8.6,0.315,0.4,0.079,3.0,0.99512,11.9,6
8.4,0.36,0.32,0.081,32.0,0.9964,11.0,6
8.4,0.36,0.32,0.081,32.0,0.9964,11.0,6
8.7,0.33,0.38,0.063,10.0,0.99468,12.0,7
7.6,0.4,0.29,0.078,29.0,0.9971,9.5,6
8.8,0.3,0.38,0.06,19.0,0.99543,11.8,6
8.8,0.3,0.38,0.06,19.0,0.99543,11.8,6
7.2,0.38,0.38,0.068,23.0,0.99356,12.9,7
9.6,0.33,0.52,0.074,13.0,0.99509,12.4,7
8.9,0.12,0.45,0.075,10.0,0.99552,11.9,7
8.9,0.12,0.45,0.075,10.0,0.99552,11.9,7
8.9,0.12,0.45,0.075,10.0,0.99552,11.9,7
8.2,0.31,0.4,0.058,6.0,0.99536,11.2,7
7.1,0.56,0.14,0.078,7.0,0.99592,9.3,5
9.0,0.4,0.43,0.068,29.0,0.9943,12.2,6
6.7,0.56,0.09,0.079,7.0,0.99669,10.2,5
8.5,0.34,0.44,0.079,6.0,0.99605,10.7,5
8.8,0.33,0.41,0.073,7.0,0.99658,12.1,7
7.0,0.4,0.32,0.061,9.0,0.99416,11.3,7
9.1,0.5,0.3,0.065,8.0,0.99774,10.5,6
9.1,0.5,0.3,0.065,8.0,0.99774,10.5,6
7.1,0.36,0.3,0.08,35.0,0.99693,9.4,5
6.5,0.4,0.1,0.076,30.0,0.99554,9.4,6
7.5,0.43,0.3,0.062,6.0,0.99495,11.5,7
6.8,0.36,0.32,0.067,4.0,0.9928,12.8,7
8.2,0.43,0.29,0.081,27.0,0.99603,10.3,5
6.8,0.36,0.32,0.067,4.0,0.9928,12.8,7
8.9,0.28,0.45,0.067,7.0,0.99354,12.3,7
8.9,0.38,0.4,0.068,12.0,0.99486,12.6,7
8.0,0.18,0.37,0.049,36.0,0.99007,12.7,6
8.0,0.18,0.37,0.049,36.0,0.99007,12.7,6
7.0,0.5,0.14,0.078,10.0,0.99636,10.4,5
7.0,0.51,0.09,0.062,4.0,0.99584,10.5,5
7.9,0.31,0.32,0.066,14.0,0.99364,12.6,6
7.2,0.34,0.21,0.075,41.0,0.99586,10.1,6
8.7,0.41,0.41,0.078,25.0,0.9953,12.6,7
6.9,0.49,0.19,0.079,13.0,0.99547,9.8,6
6.4,0.39,0.33,0.046,12.0,0.99294,12.2,6
9.3,0.49,0.36,0.081,3.0,0.99702,10.9,6
8.3,0.33,0.42,0.07,9.0,0.99426,12.7,7
7.2,0.38,0.3,0.073,31.0,0.99685,9.5,6
8.7,0.42,0.45,0.072,32.0,0.99617,12.0,6
7.2,0.38,0.3,0.073,31.0,0.99685,9.5,6
8.5,0.34,0.4,0.055,3.0,0.99738,11.6,7
7.9,0.19,0.42,0.057,18.0,0.994,11.2,6
7.0,0.54,0.09,0.081,10.0,0.99479,11.5,6
8.4,0.34,0.42,0.072,23.0,0.99392,12.4,6
7.4,0.49,0.27,0.071,14.0,0.99388,12.0,6
6.1,0.48,0.09,0.078,18.0,0.99402,11.2,6
7.4,0.49,0.27,0.071,14.0,0.99388,12.0,6
8.0,0.48,0.34,0.073,16.0,0.9936,12.4,6
6.3,0.57,0.28,0.048,13.0,0.99374,12.8,5
8.2,0.23,0.42,0.069,9.0,0.99376,12.3,6
7.9,0.33,0.41,0.056,6.0,0.99396,11.0,6
8.9,0.24,0.39,0.074,3.0,0.99698,9.5,6
5.0,0.4,0.5,0.046,29.0,0.9902,13.6,6
7.1,0.39,0.12,0.065,14.0,0.99252,13.3,6
8.8,0.24,0.35,0.055,13.0,0.99394,11.3,7
5.8,0.29,0.26,0.063,3.0,0.9915,13.5,6
5.9,0.19,0.21,0.045,57.0,0.99341,9.5,5
8.5,0.28,0.35,0.061,6.0,0.99524,11.8,7
8.0,0.25,0.43,0.067,22.0,0.9946,11.9,6
8.2,0.51,0.24,0.079,16.0,0.99764,9.5,6
7.3,0.4,0.3,0.08,33.0,0.9969,9.5,6
6.9,0.45,0.11,0.043,6.0,0.99354,11.4,6
7.3,0.32,0.23,0.066,35.0,0.99588,10.1,5
8.2,0.33,0.32,0.067,4.0,0.99473,12.8,7
6.1,0.58,0.23,0.044,16.0,0.99352,12.5,6
8.5,0.18,0.51,0.071,45.0,0.99524,11.8,7
8.8,0.45,0.43,0.076,12.0,0.99551,10.2,6
8.5,0.32,0.42,0.075,12.0,0.99434,11.8,7
6.5,0.34,0.27,0.067,8.0,0.99384,12.0,6
9.2,0.36,0.34,0.062,5.0,0.99667,10.5,6
7.6,0.36,0.31,0.079,26.0,0.99716,9.5,6
7.6,0.36,0.31,0.079,26.0,0.99716,9.5,6
6.7,0.64,0.23,0.08,11.0,0.99538,10.9,5
6.7,0.64,0.23,0.08,11.0,0.99538,10.9,5
6.2,0.43,0.22,0.078,21.0,0.99633,9.5,6
7.9,0.58,0.23,0.076,23.0,0.99686,9.5,6
7.7,0.57,0.21,0.069,4.0,0.99458,9.8,6
7.7,0.26,0.26,0.052,19.0,0.9951,10.9,6
7.9,0.58,0.23,0.076,23.0,0.99686,9.5,6
7.7,0.57,0.21,0.069,4.0,0.99458,9.8,6
7.9,0.34,0.36,0.065,5.0,0.99419,11.2,7
6.6,0.44,0.15,0.076,22.0,0.9957,9.3,5
9.6,0.38,0.42,0.071,5.0,0.99659,10.5,6
7.9,0.57,0.31,0.079,10.0,0.99677,9.5,6
8.1,0.53,0.22,0.078,33.0,0.99678,9.6,6
7.6,0.43,0.29,0.075,19.0,0.99718,9.5,5
7.7,0.18,0.34,0.066,15.0,0.9947,11.8,6
7.6,0.43,0.29,0.075,19.0,0.99718,9.5,5
6.0,0.33,0.32,0.054,6.0,0.99572,11.5,4
7.5,0.61,0.2,0.076,36.0,0.99494,9.3,5
9.0,0.4,0.41,0.058,15.0,0.99414,12.2,6
5.9,0.29,0.25,0.067,72.0,0.99721,10.3,6
6.9,0.41,0.33,0.081,22.0,0.9949,11.1,6
7.5,0.58,0.14,0.077,27.0,0.9963,9.8,5
8.5,0.37,0.32,0.066,26.0,0.99456,11.8,6
6.9,0.41,0.31,0.079,21.0,0.99668,9.5,6
7.3,0.44,0.2,0.049,24.0,0.9935,11.7,6
7.5,0.58,0.2,0.073,34.0,0.99494,9.3,5
8.5,0.4,0.4,0.05,3.0,0.99566,12.0,4
7.1,0.46,0.2,0.077,28.0,0.9956,10.4,6
7.1,0.46,0.2,0.077,28.0,0.9956,10.4,6
7.0,0.42,0.19,0.071,18.0,0.99476,10.9,5
7.1,0.16,0.44,0.068,17.0,0.99328,12.4,6
8.2,0.635,0.1,0.073,25.0,0.99638,10.9,6
8.2,0.635,0.1,0.073,25.0,0.99638,10.9,6
7.2,0.53,0.14,0.064,15.0,0.99323,12.1,6
8.0,0.28,0.44,0.081,28.0,0.99501,11.2,5
7.5,0.61,0.26,0.073,24.0,0.99612,9.8,5
7.0,0.62,0.1,0.071,27.0,0.996,9.2,5
7.5,0.61,0.26,0.073,24.0,0.99612,9.8,5
6.5,0.51,0.15,0.064,12.0,0.9929,12.8,6
9.1,0.34,0.42,0.058,9.0,0.99392,11.4,5
6.7,0.46,0.24,0.077,18.0,0.9948,10.6,6
6.7,0.46,0.24,0.077,18.0,0.9948,10.6,6
6.7,0.46,0.24,0.077,18.0,0.9948,10.6,6
6.7,0.46,0.24,0.077,18.0,0.9948,10.6,6
6.5,0.52,0.11,0.073,13.0,0.9955,9.3,5
8.4,0.39,0.1,0.075,6.0,0.99581,9.7,6
8.2,0.44,0.24,0.063,10.0,0.99613,10.2,6
9.0,0.6,0.29,0.069,32.0,0.99654,10.0,5
7.2,0.45,0.15,0.078,10.0,0.99609,9.9,6
8.0,0.6,0.22,0.08,25.0,0.99613,9.9,5
8.0,0.6,0.22,0.08,25.0,0.99613,9.9,5
8.0,0.52,0.25,0.078,19.0,0.99612,10.2,5
6.4,0.57,0.14,0.07,27.0,0.99669,9.2,5
7.3,0.59,0.26,0.08,17.0,0.99584,9.9,5
6.4,0.47,0.4,0.071,8.0,0.9963,10.6,6
7.3,0.34,0.33,0.064,21.0,0.9952,12.1,7
7.7,0.64,0.21,0.077,32.0,0.9956,9.9,5
7.5,0.4,0.18,0.079,24.0,0.9965,9.4,5
8.3,0.26,0.37,0.076,8.0,0.9974,9.6,6
8.3,0.26,0.37,0.076,8.0,0.9974,9.6,6
7.7,0.23,0.37,0.046,23.0,0.9971,12.1,6
7.6,0.41,0.33,0.078,6.0,0.9957,11.2,5
7.4,0.41,0.24,0.066,18.0,0.9956,10.4,5
7.6,0.43,0.31,0.069,13.0,0.9958,9.9,6
6.1,0.4,0.16,0.069,11.0,0.9955,10.1,7
7.2,0.37,0.32,0.062,15.0,0.9947,11.3,7
6.9,0.58,0.2,0.058,8.0,0.99322,11.7,5
7.2,0.37,0.32,0.062,15.0,0.9947,11.3,7
7.6,0.49,0.33,0.074,27.0,0.99706,9.0,5
7.6,0.49,0.33,0.074,27.0,0.99706,9.0,5
8.4,0.29,0.4,0.067,8.0,0.99603,10.5,5
6.4,0.42,0.09,0.054,34.0,0.99724,10.4,6
6.8,0.59,0.1,0.063,34.0,0.9958,9.7,5
6.8,0.59,0.1,0.063,34.0,0.9958,9.7,5
7.3,0.48,0.32,0.062,31.0,0.99728,10.0,7
7.3,0.48,0.32,0.062,31.0,0.99728,10.0,7
8.1,0.33,0.44,0.042,6.0,0.99542,10.7,5
6.2,0.57,0.1,0.048,4.0,0.99448,10.8,6
7.1,0.22,0.49,0.039,8.0,0.99344,12.4,6
6.4,0.31,0.09,0.066,15.0,0.99459,10.0,7
7.3,0.585,0.18,0.078,15.0,0.99638,9.8,5
6.2,0.44,0.39,0.077,6.0,0.99555,11.0,6
7.9,0.18,0.4,0.062,7.0,0.9941,11.1,5
6.4,0.36,0.21,0.047,26.0,0.99661,9.7,6
6.4,0.56,0.15,0.078,17.0,0.99294,10.5,6
6.8,0.48,0.25,0.076,29.0,0.9953,10.4,5
6.0,0.42,0.19,0.075,22.0,0.99522,10.0,6
6.6,0.44,0.09,0.063,9.0,0.99444,11.3,6
7.2,0.53,0.13,0.058,18.0,0.99573,9.9,6
8.0,0.39,0.3,0.074,32.0,0.99717,9.0,5
6.6,0.56,0.14,0.064,13.0,0.99397,11.7,7
7.0,0.55,0.13,0.075,15.0,0.9959,9.7,6
6.2,0.64,0.09,0.081,15.0,0.99538,12.0,5
7.2,0.39,0.32,0.065,34.0,0.99714,9.9,5
7.4,0.25,0.29,0.054,19.0,0.99666,10.9,7
6.5,0.63,0.33,0.059,16.0,0.99531,10.1,6
6.3,0.6,0.1,0.048,12.0,0.99306,12.1,5
7.0,0.56,0.17,0.065,15.0,0.99514,10.55,7
7.8,0.6,0.26,0.08,31.0,0.99622,9.9,5
7.8,0.6,0.26,0.08,31.0,0.99622,9.9,5
7.8,0.6,0.26,0.08,31.0,0.99622,9.9,5
7.0,0.56,0.13,0.077,25.0,0.99629,9.2,5
6.2,0.51,0.14,0.056,15.0,0.99396,11.5,6
6.4,0.38,0.14,0.038,15.0,0.99514,11.1,6
6.0,0.58,0.2,0.075,15.0,0.99467,12.5,6
7.5,0.52,0.4,0.06,12.0,0.99474,11.8,6
6.2,0.56,0.09,0.053,24.0,0.99402,11.3,5
7.4,0.35,0.33,0.068,9.0,0.9947,11.9,6
6.2,0.56,0.09,0.053,24.0,0.99402,11.3,5
6.2,0.46,0.29,0.074,32.0,0.99578,9.8,5
5.8,0.61,0.11,0.066,18.0,0.99483,10.9,6
6.3,0.51,0.13,0.076,29.0,0.99574,11.0,6
5.9,0.55,0.1,0.062,39.0,0.99512,11.2,6
6.3,0.51,0.13,0.076,29.0,0.99574,11.0,6
5.9,0.645,0.12,0.075,32.0,0.99547,10.2,5
6.0,0.31,0.47,0.067,18.0,0.99549,11.0,6
6.3,0.3,0.34,0.049,14.0,0.994,9.5,6
8.1,0.28,0.4,0.05,30.0,0.9951,10.1,6
7.2,0.23,0.32,0.058,47.0,0.9956,9.9,6
7.2,0.23,0.32,0.058,47.0,0.9956,9.9,6
8.1,0.28,0.4,0.05,30.0,0.9951,10.1,6
6.2,0.32,0.16,0.045,30.0,0.9949,9.6,6
6.3,0.3,0.34,0.049,14.0,0.994,9.5,6
8.1,0.22,0.43,0.044,28.0,0.9938,11.0,6
8.1,0.27,0.41,0.033,11.0,0.9908,12.0,5
8.6,0.23,0.4,0.035,17.0,0.9947,9.7,5
7.9,0.18,0.37,0.04,16.0,0.992,10.8,5
6.6,0.16,0.4,0.044,48.0,0.9912,12.4,7
6.6,0.17,0.38,0.032,28.0,0.9914,11.4,7
7.4,0.34,0.42,0.033,17.0,0.9917,11.3,6
6.5,0.31,0.14,0.044,34.0,0.9955,9.5,5
6.4,0.31,0.38,0.038,19.0,0.9912,11.0,7
6.6,0.27,0.41,0.052,16.0,0.9951,10.0,6
7.0,0.25,0.32,0.046,56.0,0.9955,10.4,6
6.9,0.24,0.35,0.052,35.0,0.993,10.0,6
7.0,0.28,0.39,0.051,32.0,0.9961,10.5,6
7.4,0.27,0.48,0.047,17.0,0.9914,11.6,6
7.2,0.32,0.36,0.033,37.0,0.9906,12.3,7
8.5,0.24,0.39,0.044,20.0,0.9974,10.0,6
8.3,0.14,0.34,0.042,7.0,0.9934,10.2,6
7.4,0.25,0.36,0.05,31.0,0.992,10.8,6
6.2,0.12,0.34,0.045,43.0,0.9939,9.0,6
5.8,0.27,0.2,0.044,22.0,0.9962,10.2,5
7.3,0.28,0.43,0.08,21.0,0.9905,12.8,5
6.5,0.39,0.23,0.051,25.0,0.9934,10.0,5
7.0,0.33,0.32,0.053,38.0,0.9906,11.2,6
7.3,0.24,0.39,0.057,45.0,0.9999,8.6,5
7.3,0.24,0.39,0.057,45.0,0.9999,8.6,5
7.0,0.31,0.26,0.069,28.0,0.9954,9.8,6
6.6,0.24,0.27,0.057,33.0,0.9934,9.5,6
6.7,0.23,0.26,0.06,33.0,0.9934,9.5,6
7.4,0.18,0.31,0.058,38.0,0.9931,10.0,7
6.2,0.45,0.26,0.063,63.0,0.994,9.8,4
6.2,0.46,0.25,0.066,62.0,0.9939,9.8,5
7.0,0.31,0.26,0.069,28.0,0.9954,9.8,6
6.9,0.19,0.35,0.067,32.0,0.995,9.8,5
7.2,0.19,0.31,0.062,31.0,0.9917,11.7,6
6.6,0.25,0.29,0.068,39.0,0.9914,11.0,7
6.2,0.16,0.33,0.057,21.0,0.991,10.9,7
6.4,0.18,0.35,0.045,39.0,0.9911,10.9,6
6.9,0.25,0.35,0.039,29.0,0.9908,11.0,6
7.2,0.21,0.34,0.043,37.0,0.9962,9.6,6
6.0,0.19,0.26,0.048,50.0,0.9972,8.9,6
6.6,0.38,0.15,0.044,25.0,0.9931,10.2,6
7.4,0.2,0.36,0.038,44.0,0.9926,9.9,6
6.0,0.19,0.26,0.048,50.0,0.9972,8.9,6
6.6,0.38,0.15,0.044,25.0,0.9931,10.2,6
7.2,0.24,0.27,0.038,31.0,0.9927,10.3,6
6.4,0.26,0.24,0.04,27.0,0.9903,12.6,7
7.4,0.24,0.29,0.05,21.0,0.9962,9.5,5
6.2,0.27,0.43,0.056,48.0,0.9956,9.0,6
6.8,0.3,0.23,0.061,50.5,0.9958,9.5,5
8.6,0.23,0.46,0.054,9.0,0.9941,9.1,6
7.4,0.24,0.29,0.05,21.0,0.9962,9.5,5
7.1,0.18,0.36,0.043,31.0,0.9898,12.7,7
7.0,0.32,0.34,0.042,20.0,0.9912,12.0,7
7.4,0.18,0.3,0.064,26.0,0.9961,9.3,5
6.7,0.54,0.28,0.06,21.0,0.9949,9.0,5
6.8,0.22,0.31,0.053,34.0,0.9929,10.6,6
7.1,0.2,0.34,0.05,51.0,0.9985,9.2,6
7.1,0.34,0.2,0.063,47.0,0.9946,10.0,5
7.3,0.22,0.3,0.047,42.0,0.9966,9.5,6
6.8,0.25,0.31,0.05,69.0,0.9972,9.7,6
6.1,0.27,0.43,0.049,65.0,0.9957,9.0,5
6.9,0.24,0.33,0.035,47.0,0.99,12.6,7
6.9,0.21,0.33,0.034,48.0,0.9899,12.6,7
7.5,0.17,0.32,0.04,51.0,0.9916,11.5,7
7.1,0.26,0.29,0.044,62.0,0.9969,9.2,6
8.6,0.265,0.36,0.034,15.0,0.9913,11.4,7
7.4,0.25,0.37,0.06,52.0,0.9975,9.1,5
7.1,0.12,0.32,0.054,64.0,0.9962,9.4,5
6.0,0.21,0.24,0.05,55.0,0.997,9.4,5
7.5,0.305,0.4,0.059,44.0,1.0,9.0,5
7.4,0.25,0.37,0.06,52.0,0.9975,9.1,5
7.3,0.13,0.32,0.051,34.0,0.9974,9.2,6
7.1,0.12,0.32,0.054,64.0,0.9962,9.4,5
7.1,0.23,0.35,0.04,60.0,0.999,9.1,6
7.1,0.23,0.35,0.04,60.0,0.999,9.1,6
6.9,0.33,0.28,0.051,37.0,0.9927,10.3,5
7.2,0.31,0.5,0.056,68.0,0.9982,9.2,5
6.7,0.41,0.34,0.049,29.0,0.9968,9.1,5
6.7,0.41,0.34,0.049,29.0,0.9968,9.1,5
6.0,0.31,0.24,0.041,25.0,0.9914,11.3,6
7.0,0.14,0.4,0.035,16.0,0.9911,11.8,6
7.2,0.31,0.5,0.056,68.0,0.9982,9.2,5
7.3,0.32,0.48,0.06,57.0,0.9982,9.2,5
7.8,0.24,0.32,0.054,42.0,0.9984,8.8,5
7.4,0.16,0.31,0.059,31.0,0.9952,9.7,5
6.9,0.19,0.28,0.058,14.0,0.9952,9.1,6
6.7,0.19,0.36,0.026,63.0,0.9912,11.0,6
7.4,0.39,0.23,0.033,29.0,0.994,10.5,5
6.5,0.24,0.32,0.038,48.0,0.9958,9.7,7
6.1,0.3,0.56,0.044,47.0,0.9924,10.9,7
